web-scraper-order,web-scraper-start-url,document url,document url-href,Title,Date,Text body,Author
1743440502-11,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,ОБНАРУЖЕНИЕ ЛЕСНЫХ ПОЖАРОВ С ПОМОЩЬЮ БПЛА САМОЛЕТНОГО ТИПА,https://cyberleninka.ru/article/n/obnaruzhenie-lesnyh-pozharov-s-pomoschyu-bpla-samoletnogo-tipa,ОБНАРУЖЕНИЕ ЛЕСНЫХ ПОЖАРОВ С ПОМОЩЬЮ БПЛА САМОЛЕТНОГО ТИПА,2024,"В современном мире проблема лесных пожаров становится все более актуальной и требует поиска новых эффективных методов и технологий для их обнаружения и тушения. Одним из перспективных направлений в этой области является применение беспилотных летательных аппаратов (БПЛА). Данная статья посвящена исследованию и анализу применения БПЛА в обнаружении лесных пожаров. В работе будут рассмотрены успешные кейсы применения БПЛА для мониторинга и отслеживания лесных пожаров, а также оперативный поиск и локализация очагов возгорания при помощи тепловизоров на таких аппаратах, проанализировано программное обеспечение, специально разработанное для обнаружения лесных пожаров при помощи БПЛА. В статье будут представлены практические рекомендации по эффективному использованию беспилотных летательных аппаратов в обнаружении лесных пожаров, что позволит сделать выводы о перспективах и потенциале данной технологии в борьбе с пожарами в лесах.",Г.Н. Насырова
1743440505-12,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,Технологии и методы планирования перемещения БПЛА по маршрутным точкам,https://cyberleninka.ru/article/n/tehnologii-i-metody-planirovaniya-peremescheniya-bpla-po-marshrutnym-tochkam,Технологии и методы планирования перемещения БПЛА по маршрутным точкам,2024,"В нашем мире особое место занимают беспилотные летательные аппараты (БПЛА). Их способность перемещаться по заданным маршрутам открывает перспективы в разных сферах. Цель исследования: обзор и анализ навигационных систем и алгоритмов маршрутизации БПЛА, методов, позволяющих БПЛА с высокой точностью следовать по маршруту. Исследуются системы GPS и инерциальной навигации (INS), обеспечивающие точное определение местоположения. Анализируются возможности сенсорных систем — камер, лидаров и ультразвуковых датчиков — для обнаружения препятствий и корректировки траектории; воксельные карты для трехмерного моделирования окружающей среды и методы одновременной локализации и картографирования (SLAM); алгоритм A* (A-star); генетический алгоритм маршрутизации, алгоритмы избегания препятствий на основе потенциалов и RRT. Практическая значимость: применение указанных алгоритмов и технологий может существенно повысить безопасность и точность маршрутизации БПЛА, возможность автономно перемещаться в сложных и динамически изменяющихся ландшафтах. В заключение обсуждаются преимущества и ограничения навигационных подходов и технологий, значимость интеграции сенсорных систем и методов SLAM для повышения автономности и эффективности БПЛА, направления дальнейших исследований.",Липанов Илья Дмитриевич
1743440508-13,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,ИССЛЕДОВАНИЕ УСТРОЙСТВ ДЛЯ ЗАРЯДКИ БПЛА И СПОСОБОВ ЕЕ РЕАЛИЗАЦИИ,https://cyberleninka.ru/article/n/issledovanie-ustroystv-dlya-zaryadki-bpla-i-sposobov-ee-realizatsii,ИССЛЕДОВАНИЕ УСТРОЙСТВ ДЛЯ ЗАРЯДКИ БПЛА И СПОСОБОВ ЕЕ РЕАЛИЗАЦИИ,2024,"В данном научном обзоре рассмотрена тема зарядки беспилотных летательных аппаратов (БПЛА). Представлены различные устройства и способы зарядки, их изображения, тенденции дальнейшего развития.",Жуков Д.Р.
1743440510-14,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,"АНАЛИЗ БПЛА И ИХ ДЕМАСКИРУЮЩИХ ФАКТОРОВ, ДЛЯ СРЕДСТВ ОБНАРУЖЕНИЯ",https://cyberleninka.ru/article/n/analiz-bpla-i-ih-demaskiruyuschih-faktorov-dlya-sredstv-obnaruzheniya,"АНАЛИЗ БПЛА И ИХ ДЕМАСКИРУЮЩИХ ФАКТОРОВ, ДЛЯ СРЕДСТВ ОБНАРУЖЕНИЯ",2024,"Работа посвящена анализу демаскирующих факторов БПЛА и их влиянию на эффективность различных средств обнаружения. Рассматриваются ключевые характеристики БПЛА, которые способствуют их обнаружению, такие как радиолокационная заметность, оптическое и инфракрасное излучение или акустическая заметность. Проанализированы условия, в которых наиболее эффективно применять средства обнаружения и рассмотрен ряд рекомендаций для улучшения характеристик обнаружения БПЛА.",В.А. Коптев
1743440513-15,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,РАСЧЕТ БАЛКИ КАРУСЕЛЬНОГО СТЕНДА ДЛЯ ИСПЫТАНИЙ БПЛА,https://cyberleninka.ru/article/n/raschet-balki-karuselnogo-stenda-dlya-ispytaniy-bpla,РАСЧЕТ БАЛКИ КАРУСЕЛЬНОГО СТЕНДА ДЛЯ ИСПЫТАНИЙ БПЛА,2022,"В данной работе рассмотрен порядок расчета элемента соединения карусельного стенда для испытаний БПЛА. Проведен анализ выбора фланцевого соединения, а также оценка опасных сечений этого соединения.",Е.П. Гарцева
1743440516-16,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,УЛУЧШЕНИЕ АЛГОРИТМА HECTOR-SLAM ДЛЯ ПОЛИЦЕЙСКИХ БПЛА,https://cyberleninka.ru/article/n/uluchshenie-algoritma-hector-slam-dlya-politseyskih-bpla,УЛУЧШЕНИЕ АЛГОРИТМА HECTOR-SLAM ДЛЯ ПОЛИЦЕЙСКИХ БПЛА,2021,"Для мобильных роботов очень важно использовать датчики, чтобы понимать свое местоположение и информацию об окружающей среде. Алгоритм SLAM может хорошо решить две вышеупомянутые проблемы. Алгоритм Hector-SLAM обычно используется для 2D-картирования. Эта работа улучшает алгоритм на основе Hector-SLAM. Когда алгоритм Hector-SLAM сочетается с лидаром низкой точности, можно построить карту нормалей и избежать препятствий. Алгоритм Hector-SLAM требует высокоточного лидара [1]. Если при вращении лидара при построении карты используется лидар с низкой точностью воспроизведения, это приведет к невозможности построения карты. Улучшенный алгоритм можно использовать с лидаром низкой точности, что значительно снижает стоимость производства полицейских дронов. Компания Google предложела оптимизировать алгоритм Hector-SLAM: заменить исходный алгоритм билинейной интерполяции алгоритмом бикубической интерполяции [2]. Однако из-за большого объема вычислений в алгоритме бикубической интерполяции, эта работа не требует большого объема вычислений. Таким образом, эта работа будет улучшаться по оригинальному алгоритму Hector-SLAM.",Сунь Тянько
1743440518-17,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,БПЛА В КАЧЕСТВЕ СТИМУЛЯТОРА ВЕГИТИРУЮЩИХ РАСТЕНИЙ ЛАЗЕРНЫМ ИЗЛУЧЕНИЕМ,https://cyberleninka.ru/article/n/bpla-v-kachestve-stimulyatora-vegitiruyuschih-rasteniy-lazernym-izlucheniem,БПЛА В КАЧЕСТВЕ СТИМУЛЯТОРА ВЕГИТИРУЮЩИХ РАСТЕНИЙ ЛАЗЕРНЫМ ИЗЛУЧЕНИЕМ,2017,"В статье рассматривается эффективность применения беспилотного летательного аппарата модели «DJI Phantom 4» для лазерной обработки вегетирующих посевов моркови сорта Анастасия F1, как одна из основных овощных культур, районированных в Северо-Западном регионе. Данная обработка способствует стимулированию развития растений на начальных этапах вегетации и как следствие в более поздних этапах роста, а также улучшению основных показателей роста и развития растений, повышения их устойчивости к некоторым болезням и урожайности. Вместе с тем такая обработка дает значительное повышение сохранности корнеплодов без дополнительных капиталовложений в овощехранилище.",Кузнецов П.А.
1743440521-18,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,Особенности фотограмметрической обработки материалов цифровой аэрофотосъемки с БПЛА,https://cyberleninka.ru/article/n/osobennosti-fotogrammetricheskoy-obrabotki-materialov-tsifrovoy-aerofotosemki-s-bpla,Особенности фотограмметрической обработки материалов цифровой аэрофотосъемки с БПЛА,2010,В статье рассматривается возможность использования данных навигационного оборудования установленного на БПЛА при обработке фотограмметрической сети.,Ессин А.С.
1743440523-19,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,К вопросу об особенностях систем управления БПЛА с машущим крылом,https://cyberleninka.ru/article/n/k-voprosu-ob-osobennostyah-sistem-upravleniya-bpla-s-mashuschim-krylom,К вопросу об особенностях систем управления БПЛА с машущим крылом,2013,"В работе произведен анализ ряда подходов к синтезу систем управления беспилотными летательными аппаратами (БПЛА) с машущим крылом, в результате которого выделен синергетический подход как наиболее адекватный применительно к указанному типу БПЛА. Изложена идея использования в системе управления прогнозирующей модели как элемента адаптации.",Горбунов Александр Александрович
1743440526-20,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,Устройство и технические характеристики топографического БПЛА мультироторного типа,https://cyberleninka.ru/article/n/ustroystvo-i-tehnicheskie-harakteristiki-topograficheskogo-bpla-multirotornogo-tipa,Устройство и технические характеристики топографического БПЛА мультироторного типа,2013,"В статье рассмотрены технический функционал и конструктивные особенности многороторного беспилотного летательного аппарата, а также его авиационная система.",Барбасов Вячеслав Константинович
1743440530-21,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,ОПТИМИЗАЦИЯ МНОГОЦИКЛЕВОЙ СИСТЕМЫ ДИСТАНЦИОННОГО ЗОНДИРОВАНИЯ С ПРИМЕНЕНИЕМ БПЛА,https://cyberleninka.ru/article/n/optimizatsiya-mnogotsiklevoy-sistemy-distantsionnogo-zondirovaniya-s-primeneniem-bpla,ОПТИМИЗАЦИЯ МНОГОЦИКЛЕВОЙ СИСТЕМЫ ДИСТАНЦИОННОГО ЗОНДИРОВАНИЯ С ПРИМЕНЕНИЕМ БПЛА,2023,"Статья посвящена анализу и синтезу оптимальных многоциклевых систем дистанционного зондирования на базе беспилотных летательных аппаратов (БПЛА). Рассмотрены и решены две задачи оптимизации. В первой задаче циклы измерений в количестве n отличаются тем, что высота полета в каждом цикле различна и ставится задача определить оптимальную зависимость между высотой полета и длительностью цикла. Показано, что специально сформированный функционал цели, названный «площадью полета БПЛА», достигнет минимума, если высота полета будет убывать по мере увеличения длительности цикла измерений. Вторая задача оптимизации предусматривает вычисление оптимальной зависимости длительности цикла от длины дистанции пройденной в течение одного цикла. Показано, что при наличии прямой связи между указанным показателями количество информации, добываемой в многоциклевом режиме, достигает максимальной величины.",Гумбатов Дилан Азиз Оглы
1743440532-22,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,Перспективы использования БПЛА при осуществлении земельного надзора,https://cyberleninka.ru/article/n/perspektivy-ispolzovaniya-bpla-pri-osuschestvlenii-zemelnogo-nadzora,Перспективы использования БПЛА при осуществлении земельного надзора,2018,"Земельные ресурсы являются богатством каждой страны, они имеют особую ценность и значимость, их рациональное использование и охрана всегда имеют приоритет среди других государственных задач. Государственный земельный надзор, призванный обеспечить соблюдение требований земельного законодательства, приобретает с каждым годом все большую актуальность. В этой связи в предлагаемой статье рассмотрены перспективы ведения государственного земельного надзора с использованием БПЛА, проанализированы опыт использования беспилотников в различных регионах нашей страны, а также правовые особенности законодательного регулирования их использования.",Мещанинова Елена Германовна
1743440535-23,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,СОЗДАНИЕ МАСШТАБНОГО ПЛАНА В ГИС С ИСПОЛЬЗОВАНИЕМ ДАННЫХ БПЛА,https://cyberleninka.ru/article/n/sozdanie-masshtabnogo-plana-v-gis-s-ispolzovaniem-dannyh-bpla,СОЗДАНИЕ МАСШТАБНОГО ПЛАНА В ГИС С ИСПОЛЬЗОВАНИЕМ ДАННЫХ БПЛА,2020,"Масштабный план - это один из основных видов продукции в железнодорожной отрасли. Для создания электронных версий таких планов все чаще применяются ГИС, позволяющие объединить разнородные данные, полученные геодезическими приборами и съемочными комплексами. ГИС обладают широким функционалом и позволяют его расширить за счет возможности разработки пользовательских программных модулей, благодаря чему возможно значительно ускорить процесс обработки данных геодезическим съемок с целью создания масштабных планов. В статье описаны результаты формирования масштабного плана по данным съемки с помощью АПК «Профиль-М» и БПЛА. Обсуждается, что данные БПЛА способны сократить объем полевых измерений, выполняемых с помощью АПК, а также стать источником контрольных измерений для наземной съемки.",Алтынцев Максим Александрович
1743440538-24,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,Разработка алгоритма формирования траекторий движения группы БПЛА,https://cyberleninka.ru/article/n/razrabotka-algoritma-formirovaniya-traektoriy-dvizheniya-gruppy-bpla,Разработка алгоритма формирования траекторий движения группы БПЛА,2017,"В статье рассмотрена задача формирования карты местности группой беспилотных летательных аппаратов с применением коллективного управления. Приведен математический алгоритм, задающий траекторию полета каждого отдельного звена группы беспилотных летательных аппаратов с учетом количества летательных аппаратов, габаритов исследуемого квадрата и контура местности, а также вероятности дублирования и нахождения целевого объекта. Предложен уникальный способ распределения координат целевых точек каждого звена группы с целью покрытия максимальной площади.",Рубцов Василий Иванович
1743440540-25,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,Синтез системы управления приводом тормоза шасси БПЛА,https://cyberleninka.ru/article/n/sintez-sistemy-upravleniya-privodom-tormoza-shassi-bpla,Синтез системы управления приводом тормоза шасси БПЛА,2018,"В работе рассмотрен процесс проектирования системы управления приводом торможения шасси БПЛА самолетного типа. Данный привод включает в себя асинхронный электродвигатель и механическую передачу, преобразующую вращение вала двигателя в поступательное движение рабочей поверхности. Формируя определенный момент на валу двигателя, можно добиться соответствующего усилия на рабочей поверхности, которое затем передается на тормозной диск колеса. В итоге скорость вращения колес уменьшается и происходит торможение летательного аппарата на взлетно-посадочной полосе. Далее описан алгоритм управления подобным приводом по моменту на валу двигателя, процесс моделирования всей системы в среде Simulink и результаты испытаний на макете.",Ланцев В.Ю.
1743440543-26,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,Синтез параметров электроприводов БПЛА типа «Конвертоплан - трикоптер»,https://cyberleninka.ru/article/n/sintez-parametrov-elektroprivodov-bpla-tipa-konvertoplan-trikopter,Синтез параметров электроприводов БПЛА типа «Конвертоплан - трикоптер»,2017,"В статье рассматривается управляемое движение беспилотного летательного аппарата (БПЛА) вертикального взлета и посадки, типа конвертоплан, с тремя управляемыми приводами, причем поворотными являются все винты с двигателями. БПЛА оснащен стреловидным крылом, расчет аэродинамических параметров которого осуществлялся в программном пакете XFLR5 с учетом массогабаритных требований. Определены коэффициенты подъемной силы и сопротивления БПЛА в зависимости от угла атаки на основании вихревого метода, выполнен анализ влияния профиля крыла на расчетные аэродинамические характеристики. Предложена методика синтеза энергоэффективных параметров тяговых усилий винтов электроприводов, обеспечивающих снижение энергопотребления, повышая точность системы автоматического управления.",Емельянова О.В.
1743440545-27,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,Стартовое устройство для запуска свободнолетающих моделей БПЛА,https://cyberleninka.ru/article/n/startovoe-ustroystvo-dlya-zapuska-svobodnoletayuschih-modeley-bpla,Стартовое устройство для запуска свободнолетающих моделей БПЛА,2016,"Приведён обзор стартовых устройств для запуска моделей БПЛА, а также представлены собственные разработки авторов.",Турчанов А.М.
