web-scraper-order,web-scraper-start-url,document url,document url-href,Title,Date,Text body,Author
1743440957-11,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,Обработка данных в мультисенсорной системе обнаружения дронов,https://cyberleninka.ru/article/n/obrabotka-dannyh-v-multisensornoy-sisteme-obnaruzheniya-dronov,Обработка данных в мультисенсорной системе обнаружения дронов,2019,"Территориальный контроль и выявление нарушителя -довольно актуальная и сложная проблема. Появление широкого класса беспилотных летательных аппаратов (БПЛА) создало большие возможности по несанкционированному получению и съему разнообразной информации, включая фотосъемку и радиоперехват. Очевидно, что современные БПЛА являются также весьма опасными средствами воздушного нападения. В настоящее время существует множество вариантов решения проблемы, включая технологии Radar, LiDar и Camera Vision, на основе которых функционирует множество современных систем обнаружения и классификации объектов. Каждый из перечисленных методов оптимален для решения конкретных задач, однако все они требуют значительных финансовых затрат. В статье рассматривается эффективный подход для повышения достоверности детектирования беспилотных летательных аппаратов,основанный на совмещении нескольких каналов детектирования. Приводится описание разработанного программного обеспечения для сжатия и повышения помехоустойчивости на основе технологий вейлвет-сжатия и каскадирования кодов.",Бадалян Бениамин Феликсович
1743440960-12,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,Анатолий Федорович дронов (к 80-летию со дня рождения),https://cyberleninka.ru/article/n/anatoliy-fedorovich-dronov-k-80-letiyu-so-dnya-rozhdeniya,Анатолий Федорович дронов (к 80-летию со дня рождения),2016,,
1743440963-13,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,Анализ существующих автоматизированных комплексов защиты от дронов,https://cyberleninka.ru/article/n/analiz-suschestvuyuschih-avtomatizirovannyh-kompleksov-zaschity-ot-dronov,Анализ существующих автоматизированных комплексов защиты от дронов,2020,"В статье проведен анализ рынка российских автоматизированных комплексов защиты от дронов. Установлено, что принцип функционирования большинства из них основан на радиомониторинге. При этом в качестве вспомогательных средств используются оптикоэлектронные системы видимого и инфракрасного диапазонов. Радиолокационные способы обнаружения, в основном, не использованы, что является значительным недостатком представленных комплексов, снижающим дальность обнаружения беспилотного летательного аппарата. Кроме того, в рамках вторичной обработки информации не реализуется сопровождение беспилотных летательных аппаратов, что существенно ослабляет предпринимаемые меры по защите от них.",Фалилеев Вячеслав Юрьевич
1743440965-14,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,ДРОН-ТЕХНОЛОГИИ В СТРОИТЕЛЬСТВЕ -СОВРЕМЕННЫЕ РЕШЕНИЯ И ВОЗМОЖНОСТИ,https://cyberleninka.ru/article/n/dron-tehnologii-v-stroitelstve-sovremennye-resheniya-i-vozmozhnosti,ДРОН-ТЕХНОЛОГИИ В СТРОИТЕЛЬСТВЕ -СОВРЕМЕННЫЕ РЕШЕНИЯ И ВОЗМОЖНОСТИ,2020,"В статье приводятся исследования использования современных дронов или беспилотных летательных аппаратов (БПЛА) для эффективной работы в областях архитектурного проектирования, управления строительством и мониторинга. Авторами разъяснены важные основы для разработки полностью автоматизированной системы интеллектуального строительства и отчетности, помощи в планировании строительства и оптимизации затрат, выставление счетов, контроль и другие важные практические функции, основанные на данных в реальном времени, полученные строителями непосредственно с использованием современных беспилотных летательных аппаратов (БПЛА) или дронов. Получение данных в виде фотографий дронов из разных мест и облаков точек (трехмерного сканирования строительной площадки) для дальнейшего использования и построения трехмерной модели методами фотограмметрии. В статье показан принцип работы сравнения «модели дрона» с BIM-технологиями («информационная модель здания») на различных этапах проектирования и строительства, чтобы отслеживать процесс и контролировать качество работ в целом. Авторами продемонстрирован процесс создания топографической карты и синхронизация со специальными веб-платформами. В статье приведены основные причины использования дрон-технологий. Описаны проблемы внедрения, положительные и отрицательные стороны использования современных беспилотных летательных аппаратов (БПЛА). Авторами рассмотрен основной принцип работы данного решения в строительной отрасли. Проведенный анализ показывает, что в настоящее время сфера дрон-технологий или БПЛА находится под воздействием различных факторов, которые замедляют быстрое внедрение данной технологии, но в ближайшем будущем полностью автоматизируются и заменят людей при выполнении большинства работ, и чем раньше начнется внедрение, тем более высоким будет конкурентное преимущество на рынке.",Носков Игорь Владислававич
1743440968-15,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,О математической модели управляемого движения дрона-квадрокоптера,https://cyberleninka.ru/article/n/o-matematicheskoy-modeli-upravlyaemogo-dvizheniya-drona-kvadrokoptera,О математической модели управляемого движения дрона-квадрокоптера,2016,"Рассматривается упрощенная математическая модель движения дрона-квадрокоптера под действием некоторых выбранных управляющих воздействий. При этом в качестве таких воздействий выбираются угловые скорости вращения винтов. Каждый из четырех винтов снабжен своим электродвигателем, и, следовательно, скорости вращения всех винтов могут быть различными. Рассмотрены случаи выбора управлений, обеспечивающих вертикальный взлет или посадку, случаи вращения квадрокоптера в горизонтальной плоскости на некоторой фиксированной высоте, а также полет дрона в каком-либо направлении в горизонтальной плоскости. Предлагается и обосновывается некоторая новая модификация математической модели полета в форме дифференциальных уравнений Ньютона Эйлера. Рассматривается оптимизация движения полета по критерию качества процесса управления, определяющего затраты энергии на выработку управляющих воздействий на заданном зафиксированном отрезке времени. При этом за данный отрезок времени дрон совершает перелет из заданного начального в заданное конечное положение в трехмерном евклидовом пространстве. Математически рассматриваемый критерий качества есть интеграл от квадрата четырехмерного вектора управляющего воздействия, что традиционно для двигателей малой тяги, применяемых, в частности, в авиационной и ракетной технике. Решается задача программного управления, при котором оптимальное управляющее воздействие получается в виде некоторой функции времени на заданном отрезке полета квадрокоптера. Отрезок времени управления движением квадрокоптера определяется ресурсом его аккумулятора. Приводится иллюстрирующий пример облета дроном сельскохозяйственного угодья. При этом в качестве дрона рассматривается легкий квадрокоптер, снабженный аккумуляторной батареей, микропроцессором и двумя видеокамерами для горизонтальной и вертикальной съемок.",Красовский А.Н.
1743440971-16,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,БЕСПИЛОТНЫЕ ЛЕТАТЕЛЬНЫЕ АППАРАТЫ КАК ОДНА ИЗ ПРОБЛЕМ ИСПРАВИТЕЛЬНЫХ УЧРЕЖДЕНИЙ В БОРЬБЕ С НЕЗАКОННЫМ ОБОРОТОМ НАРКОТИКОВ: ПУТИ РЕШЕНИЯ,https://cyberleninka.ru/article/n/bespilotnye-letatelnye-apparaty-kak-odna-iz-problem-ispravitelnyh-uchrezhdeniy-v-borbe-s-nezakonnym-oborotom-narkotikov-puti,БЕСПИЛОТНЫЕ ЛЕТАТЕЛЬНЫЕ АППАРАТЫ КАК ОДНА ИЗ ПРОБЛЕМ ИСПРАВИТЕЛЬНЫХ УЧРЕЖДЕНИЙ В БОРЬБЕ С НЕЗАКОННЫМ ОБОРОТОМ НАРКОТИКОВ: ПУТИ РЕШЕНИЯ,2024,"Статья посвящена актуальной проблеме, такой как совершение противоправных действий с использованием БПЛА. В статье рассматриваются типы БПЛА, их назначение и область применения при совершении противоправных действий. Так же в статье описываются меры борьбы с БПЛА, описываются технические средства, предназначенные для их подавления. Материалы, описанные в данной статье, помогут в борьбе с БПЛА, которые используют злоумышленники в противоправных деяниях.",Ярабаева Ольга Олеговна
1743440974-17,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,«Гражданские» квадрокоптеры (дроны) и их роль в современных военных конфликтах,https://cyberleninka.ru/article/n/grazhdanskie-kvadrokoptery-drony-i-ih-rol-v-sovremennyh-voennyh-konfliktah,«Гражданские» квадрокоптеры (дроны) и их роль в современных военных конфликтах,2023,"Статья посвящена анализу применения коммерческих квадрокоптеров в современных военных конфликтах. Актуальность работы обусловлена тем, что опыт специальной военной операции (СВО) на Украине, а также других военных конфликтов продемонстрировал всему миру, что даже такой, казалось бы, безобидный инструмент, как квадрокоптер, может стать грозной военной силой применяемой в бою. Объектом исследования выступают коммерческие (также называемые «гражданскими») квадрокоптеры (дроны). Предметом исследования выступает применение коммерческих квадрокоптеров (дронов) в современных военных конфликтах по всему миру. Автором подробно изучен процесс становления коммерческих квадрокоптеров (дронов) как военных инструментов, определена роль квадрокоптеров в современных военных конфликтах. Также, автором подробно описаны области применения гражданских квадрокоптеров в военных конфликтах. Методология исследования базируется на общенаучных методах (метод контент анализа), а также на специальных исторических методах (нарративный и историко-генетический). Научная новизна статьи заключается в подробном изучении применения гражданских квадрокоптеров в современных военных конфликтах, а именно: в специальной военной операции (СВО) на территории У краины, в военных столкновениях суданских сил быстрого реагирования и вооруженных сил Судана, начавшихся в апреле 2023 года, а также во вновь обострившемся, в октябре 2023 года, арабо-израильском конфликте. Особым вкладом автора в исследование темы является подробное описание применения гражданских квадрокоптеров во всех вышеперечисленных конфликтах. Также работа содержит большой корпус фотоматериалов применения квадрокоптеров в военных конфликтах. На основании проведенного исследования можно сделать вывод о значительно возросшей роли гражданских квадрокоптеров в современных военных конфликтах, а также о быстром заимствовании опыта их применения по всему миру.",Гонта Семен Николаевич
1743440976-18,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,ИСПОЛЬЗОВАНИЕ ДРОНОВ ДЛЯ ОБРАБОТКИ ТРИХОГРАММОЙ,https://cyberleninka.ru/article/n/ispolzovanie-dronov-dlya-obrabotki-trihogrammoy,ИСПОЛЬЗОВАНИЕ ДРОНОВ ДЛЯ ОБРАБОТКИ ТРИХОГРАММОЙ,2023,в статье анализируются применение двух различных инструментов для обработки полей совместно для получение хорошего результата,Тимирбаев Азат Маратович
1743440979-19,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,ПОВЫШЕНИЕ ЭНЕРГОЭФФЕКТИВНОСТИ ДРОНОВ В СЕЛЬСКОХОЗЯЙСТВЕННОМ ПРОИЗВОДСТВЕ,https://cyberleninka.ru/article/n/povyshenie-energoeffektivnosti-dronov-v-selskohozyaystvennom-proizvodstve,ПОВЫШЕНИЕ ЭНЕРГОЭФФЕКТИВНОСТИ ДРОНОВ В СЕЛЬСКОХОЗЯЙСТВЕННОМ ПРОИЗВОДСТВЕ,2022,"Актуальность обусловлена невысоким энергообеспечением современных дронов, что не позволяет им непрерывно находиться в воздухе более 30...35 минут. Предлагаемые методы повышения времени нахождения дрона в воздухе (зависящего от полезной нагрузки) в основном направлены на повышение емкости аккумуляторов, поэтому разработка способа повышения времени «полезной работы» дрона позволит повысить эффективность его применения. Объект. Повышение энергоэффективности и полезной нагрузки дронов за счет перемещения источников питания и полезной нагрузки на сопровождающее его транспортное средство. Материалы и методы. Обработка экспериментальных данных энергопотребления дронов различных типов при их свободном парении с полезной нагрузкой с целью принятия решения о компоновке системы «транспортное средство - дрон» за счет переноса части полезной нагрузки, а также источника энергии на транспортное средство. Результаты и выводы. Предложенное решение предполагает перенос источников питания и полезной нагрузки с дрона (или нескольких дронов, одновременно или по очереди используемых для проведения работ) на мобильный агрегат, что позволяет существенно повысить эффективность его работы за счет как увеличения площади, так и времени непрерывной обработки.",Симдянкин А. А.
1743440982-20,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,Гражданские дроны в законодательстве России и Японии,https://cyberleninka.ru/article/n/grazhdanskie-drony-v-zakonodatelstve-rossii-i-yaponii,Гражданские дроны в законодательстве России и Японии,2019,"Цель: Исследование международного законодательства в сфере использования гражданских дронов и описание перспектив правового регулирования беспилотников для решения экологических и социально-экономических проблем. В основе исследования лежит законодательный опыт России и Японии. Методология: Методологической основой является метод правового прогнозирования, который позволяет достичь поставленной цели по мере формирования будущей международной правовой базы в сфере использования гражданских беспилотников. Результаты: Определяется возможность использования предложенных законодательных поправок и выводов для дальнейшего совершенствования международного законодательства, включая законодательство России и Японии. Новизна/оригинальность/ценность: Новизна исследования заключается в необходимости теоретического обоснования и выработки законодательства, регулирующего использование дистанционных и автоматизированных беспилотников гражданскими лицами, включая правовую ответственность собственников беспилотников, выявление дронами фактов нарушения экологии, использование дронов для минимизации социально-экономических проблем (бюрократии, коррупции и т. д.).",Шикула Эльмира Рифкатьевна
1743440985-21,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,Применение дронов в сельском хозяйстве Китая,https://cyberleninka.ru/article/n/primenenie-dronov-v-selskom-hozyaystve-kitaya,Применение дронов в сельском хозяйстве Китая,2019,"Статье рассматривается проблема разноцелевого применения беспилотных летательных аппаратов (БПЛА) в области сельского хозяйства в последние годы на территории Китая. Проблемы ограниченной выносливости и дальности связи, высокой стоимости использования и низкой безопасности, а также перспективы возможных потенциальных применений служат ориентиром для применения БПЛА в сельском хозяйстве. Целью работы является описание проблем использования дронов в Китае. Основным методом исследования является описательный метод. Новизна статьи заключается в использовании материалов на китайском языке, ранее неизвестных российской науке. Результаты работы изложены в выводах о специфике использования БПЛА в сельском хозяйстве.",Ли Лю
1743440988-22,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,Облет дронами-квадрокоптерами сельскохозяйственных угодий,https://cyberleninka.ru/article/n/oblet-dronami-kvadrokopterami-selskohozyaystvennyh-ugodiy,Облет дронами-квадрокоптерами сельскохозяйственных угодий,2016,"В статье рассматривается облет целей и их наблюдение с помощью квадрокоптеров (дронов), снабженных видеокамерами. Предполагается, что сигнал с видеокамер, установленных на дроне, может передаваться в некоторый удаленный пункт центр наблюдения и управления. Цели для облета представляют какие-либо объекты сельскохозяйственных угодий поля, амбары, фермы и т. д. Необходимым условием является присутствие вдоль рассматриваемых сельскохозяйственных угодий линий электропередач типа ЛЭП-500 или других модификаций либо просто проводов под напряжением, натянутых между столбами. Во всяком случае, наличие каких-либо конструкций типа ферм или столбов играет важнейшую роль в решении поставленной задачи. Предполагается, что на указанных конструкциях будут базироваться так называемые гнезда места подзарядки аккумуляторных батарей дронов. В работе рассматривается случай, когда в схеме облета, наблюдения и управления участвуют несколько дронов от трех и более. Схема облета такова, что из центра управления, удаленного от сельскохозяйственного угодья сколь угодно далеко, подается сигнал дрону, базирующемуся в гнезде, расположенном как можно ближе от предлагаемой цели обследования. Дрон, управляемый из центра, направляется к указанной цели и ведет видеосъемку с передачей видеоизображения наблюдателю, находящемуся в центре управления. После этого дрон возвращается к месту своего базирования в гнездо. Предлагается оптимизировать время полета, которое, вообще говоря, определяется энергетическими запасами квадрокоптера. Модель облета квадрокоптером сельскохозяйственного угодья была протестирована авторами статьи с использованием имеющегося дрона-квадрокоптера",Красовский А.Н.
1743440990-23,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,ВЗАИМОДЕЙСТВИЕ ЗАЛПА АТАКУЮЩИХ ДРОНОВ И ЗАЛПА ЗЕНИТНЫХ ДРОНОВ КАК КОМПЬЮТЕРНАЯ АНТАГОНИСТИЧЕСКАЯ НЕНЬЮТОНОВСКАЯ 2D-ИГРА,https://cyberleninka.ru/article/n/vzaimodeystvie-zalpa-atakuyuschih-dronov-i-zalpa-zenitnyh-dronov-kak-kompyuternaya-antagonisticheskaya-nenyutonovskaya-2d-igra,ВЗАИМОДЕЙСТВИЕ ЗАЛПА АТАКУЮЩИХ ДРОНОВ И ЗАЛПА ЗЕНИТНЫХ ДРОНОВ КАК КОМПЬЮТЕРНАЯ АНТАГОНИСТИЧЕСКАЯ НЕНЬЮТОНОВСКАЯ 2D-ИГРА,2023,"Рассмотрена проблема ухода атакующего дрона от перехвата на заключительном этапе полета. Продолжительность этапа - несколько секунд. Дроны подлетают к цели, взрываются и погибают. Традиционно атакующий и зенитный дроны рассматривают независимо. Предложено рассматривать атакующий и зенитный дроны как единую колебательную систему с антагонистическими составляющими. Антагонистические составляющие соединены с помощью неньютоновского упругого элемента. Рассмотрены тестовая игра с фугасным дроном, тестовая игра с осколочным дроном и 2D-игра залпами. Игра в данном случае - это не традиционная задача оптимизации на минимакс, а моделирование компромиссного неустойчивого режима движения. Для 2D-игры залп из трех атакующих дронов работает по трем неподвижным целям. Зенитный залп включает в себя два фугасных и два осколочных дрона. Атакующие дроны ""ничего не знают"" о зенитном целераспределении, поэтому каждый из них уходит от всех зенитных дронов одновременно. Играет один оператор. Поэтому игра имеет только два параметра - два различных коэффициента жесткости любого неньютоновского упругого элемента. Исследуемая неньютоновская колебательная система является неосцилляционной. Имеют место нарушения известных осцилляционных теорем теории колебаний: с увеличением жесткости частота колебаний системы падает, формы колебаний приобретают дополнительные узлы и т. п.",Аринчев С.В.
1743440993-24,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,ПРОЕКТ СОЗДАНИЯ ПОДВОДНОГО ДРОНА,https://cyberleninka.ru/article/n/proekt-sozdaniya-podvodnogo-drona,ПРОЕКТ СОЗДАНИЯ ПОДВОДНОГО ДРОНА,2025,"Рассмотрены вопросы создания подводного дрона в рамках работы студенческого научного общества НИЯУ МИФИ. Показаны основные технические решения, использованные при реализации описываемого проекта.",Бурденков А.А.
1743440996-25,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,ПРИМЕНЕНИЕ ДРОНОВ В СЕЛЬСКОМ ХОЗЯЙСТВЕ,https://cyberleninka.ru/article/n/primenenie-dronov-v-selskom-hozyaystve,ПРИМЕНЕНИЕ ДРОНОВ В СЕЛЬСКОМ ХОЗЯЙСТВЕ,2021,"Беспилотные летательные аппараты используются практически во всех отраслях сельского хозяйства: выполняют необходимые анализы и сканирование для выявления бактерий, грибков, проблемных зон, нуждающихся в орошении, и многое другое. В статье рассмотрена проблема использования дронов в сельском хозяйстве и виды ресурсов, которые удается сэкономить при внедрении системы мониторинга с помощью них в производственный процесс. Сельскохозяйственная отрасль развитых стран мира, таких как США и Европейского союза, пожалуй, самый известный потребитель беспилотных технологий. В них всесторонне внедряются продукты с беспилотными двигателями, что, по сути, произвело революцию в аграрной сфере. Дроны играют важную роль в современном сельскохозяйственном производстве благодаря их трехмерному и сверхточному анализу в реальном времени, который измеряет общее состояние почвы, схемы посадки и, в конечном итоге, предоставляет важные данные для оптимального орошения и потребностей в азоте.",Бочаров Кирилл Олегович
1743440999-26,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,ДРОНЫ В РАЗЛИЧНЫХ ПРОФЕССИЯХ И ИХ БУДУЩЕЕ,https://cyberleninka.ru/article/n/drony-v-razlichnyh-professiyah-i-ih-buduschee,ДРОНЫ В РАЗЛИЧНЫХ ПРОФЕССИЯХ И ИХ БУДУЩЕЕ,2020,Статья посвящена дронам в различных профессиях и их будущему. С каждым годом беспилотный летательные аппараты набирают огромную популярность и становятся востребованными во многих сферах деятельности. Об этом и о будущем беспилотников вы узнаете в этой статье. Сейчас беспилотники не пользуются большой популярностью из-за дороговизны дронов по этому на данное время есть лишь идеи и разработки проектов по созданию беспилотных машин.,Павлушкин А.А.
1743441004-27,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,Маркетинг: «Игра дронов»,https://cyberleninka.ru/article/n/marketing-igra-dronov,Маркетинг: «Игра дронов»,2016,Что такое дрон и как он используется в маркетинге? В данной статье рассматриваются варианты использования беспилотников в маркетинговой сфере и каковы их перспективы развития в будущем.,Бушуев М.В.
